StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q2_1,Q3_1,Q6_1,AVG,Q27_1,Q31_1,Q31_2,Q31_3,Q36,Q29_1,Q32_1,Q32_2,Q32_3,Q32_4,Q35,Q30_1,Q34_1,Q34_2,Q34_3,Q34_4,Q37
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"To make predictive policing more effective, LIPD decides to use personal attributes (e.g. race, religion) as factors in the prediction methodology. How comfortable are you with this practice from a privacy standpoint? - 3",Los Incognitos has a park with running trail. A citizen raises a complaint with the department (using Complaint Kiosk) about littering on this trail. The department runs analytics on the citizen's complaint data (including past complaints) to make inferences about their daily routine (e.g. They often go to this park around 7AM). How comfortable are you with this practice from a privacy standpoint? - 1,The department deploys cameras to do facial recognition. The collected data can also be used to make inferences about an individual's whereabouts & travel patterns. How comfortable are you with this step from a privacy standpoint? - 3,,"Given the responsibilities of the newly appointed CPO,  how comfortable are you with the use of Predictive Policing in Los Incognitos? - 3",You have indicated high comfort level for this scenario. Rate each of the following actions of CPO based on their role in helping you achieve this comfort level? - Enforce laws and policies,You have indicated high comfort level for this scenario. Rate each of the following actions of CPO based on their role in helping you achieve this comfort level? - Anonymize data,You have indicated high comfort level for this scenario. Rate each of the following actions of CPO based on their role in helping you achieve this comfort level? - Publish technical details,"You have indicated low comfort level for this scenario. In your opinion, which privacy practices, if implemented, will make you more comfortable with the use of Predictive Policing in Los Incognitos?","Given the responsibilities of the newly appointed CPO,  how comfortable are you sharing data with the government using Complaint Kiosks? - 1",You have indicated high comfort level for this scenario. Rate each of the following actions of CPO based on their role in helping you achieve this comfort level? - Enforce laws and policies,You have indicated high comfort level for this scenario. Rate each of the following actions of CPO based on their role in helping you achieve this comfort level? - Notify about data collection,You have indicated high comfort level for this scenario. Rate each of the following actions of CPO based on their role in helping you achieve this comfort level? - Anonymize data,You have indicated high comfort level for this scenario. Rate each of the following actions of CPO based on their role in helping you achieve this comfort level? - Publish technical details,"You have indicated low comfort level for this scenario. In your opinion, which privacy practices, if implemented, will make you more comfortable sharing data with the government using Complaint Kiosks?","Given the responsibilities of the newly appointed CPO,  how comfortable are you with data collection by the Transportation department? - 3",You have indicated high comfort level for this scenario. Rate each of the following actions of CPO based on their role in helping you achieve this comfort level? - Enforce laws and policies,You have indicated high comfort level for this scenario. Rate each of the following actions of CPO based on their role in helping you achieve this comfort level? - Notify data collection,You have indicated high comfort level for this scenario. Rate each of the following actions of CPO based on their role in helping you achieve this comfort level? - Anonymize data,You have indicated high comfort level for this scenario. Rate each of the following actions of CPO based on their role in helping you achieve this comfort level? - Publish technical details,"You have indicated low comfort level for this scenario. In your opinion, which privacy practices, if implemented, will make you more comfortable with data collection by the Transportation department?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID16_3""}",,"{""ImportId"":""QID31_3""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID35_3""}","{""ImportId"":""QID35_4""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID36_3""}","{""ImportId"":""QID36_4""}","{""ImportId"":""QID36_5""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID34_3""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_3""}","{""ImportId"":""QID38_4""}","{""ImportId"":""QID38_5""}","{""ImportId"":""QID41_TEXT""}"
11/17/2019 17:01,11/17/2019 17:05,IP Address,100,232,TRUE,11/17/2019 17:05,R_eDoJFFIm8ImzNV7,anonymous,EN,5,5,4,4.666666667,5,5,5,5,,5,5,5,5,5,,5,5,5,5,5,
11/18/2019 10:23,11/18/2019 10:28,IP Address,100,264,TRUE,11/18/2019 10:28,R_1K9103Z4NvU1DpR,anonymous,EN,4,5,4,4.333333333,5,4,5,5,,5,4,5,5,4,,5,4,5,5,4,
11/21/2019 10:57,11/21/2019 11:00,IP Address,100,210,TRUE,11/21/2019 11:00,R_2ro5DTZlkGRQZLu,anonymous,EN,4,4,4,4,4,4,5,5,,5,5,5,5,5,,5,5,5,5,5,
12/4/2019 18:19,12/4/2019 18:22,IP Address,100,232,TRUE,12/4/2019 18:22,R_3lPHybMkHrp0diu,anonymous,EN,5,4,1,3.333333333,1,,,,Not comfortable with facial recognition ,4,2,3,5,4,,5,3,5,5,3,
12/2/2019 19:18,12/2/2019 19:22,IP Address,100,254,TRUE,12/2/2019 19:22,R_3qDP4si6XEFTUfW,anonymous,EN,4,5,4,4.333333333,5,5,5,5,,4,4,4,4,4,,4,4,4,4,4,
12/3/2019 14:41,12/3/2019 14:44,IP Address,100,181,TRUE,12/3/2019 14:44,R_3iF6OkpBysViLl2,anonymous,EN,4,4,3,3.666666667,4,4,4,2,,4,4,4,2,4,,4,4,4,4,4,
12/3/2019 19:44,12/3/2019 19:45,IP Address,100,78,TRUE,12/3/2019 19:45,R_3PIiaTgTqPXOgTH,anonymous,EN,4,3,4,3.666666667,5,4,4,4,,4,4,4,4,4,,4,5,4,4,5,
11/17/2019 16:12,11/17/2019 16:24,IP Address,100,736,TRUE,11/17/2019 16:24,R_3LXqJ24pT7wGQ6g,anonymous,EN,4,5,1,3.333333333,4,5,3,4,,3,,,,,Identity protection in case of data breach ,4,5,3,5,5,
