StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,PP - Without CPO,SCS - Without CPO,ST - Without CPO,AVG - Without CPO,PP - With CPO,PP - LP,PP - Anon,PP - Publish,PP - Custom,SCS - With CPO,SCS - LP,SCS - Notify,SCS - Anon,SCS - Publish,SCS - Custom,ST - With CPO,ST - LP,ST - Notify,ST - Anon,ST - Publish,ST - Custom,AVG - With CPO
11/17/2019 17:01,11/17/2019 17:05,IP Address,100,232,TRUE,11/17/2019 17:05,R_eDoJFFIm8ImzNV7,anonymous,EN,5,5,4,4.666666667,5,5,5,5,,5,5,5,5,5,,5,5,5,5,5,,5
11/18/2019 10:23,11/18/2019 10:28,IP Address,100,264,TRUE,11/18/2019 10:28,R_1K9103Z4NvU1DpR,anonymous,EN,4,5,4,4.333333333,5,4,5,5,,5,4,5,5,4,,5,4,5,5,4,,5
11/21/2019 10:57,11/21/2019 11:00,IP Address,100,210,TRUE,11/21/2019 11:00,R_2ro5DTZlkGRQZLu,anonymous,EN,4,4,4,4,4,4,5,5,,5,5,5,5,5,,5,5,5,5,5,,4.666666667
12/4/2019 18:19,12/4/2019 18:22,IP Address,100,232,TRUE,12/4/2019 18:22,R_3lPHybMkHrp0diu,anonymous,EN,5,4,1,3.333333333,1,,,,Not comfortable with facial recognition ,4,2,3,5,4,,5,3,5,5,3,,3.333333333
12/2/2019 19:18,12/2/2019 19:22,IP Address,100,254,TRUE,12/2/2019 19:22,R_3qDP4si6XEFTUfW,anonymous,EN,4,5,4,4.333333333,5,5,5,5,,4,4,4,4,4,,4,4,4,4,4,,4.333333333
12/3/2019 14:41,12/3/2019 14:44,IP Address,100,181,TRUE,12/3/2019 14:44,R_3iF6OkpBysViLl2,anonymous,EN,4,4,3,3.666666667,4,4,4,2,,4,4,4,2,4,,4,4,4,4,4,,4
12/3/2019 19:44,12/3/2019 19:45,IP Address,100,78,TRUE,12/3/2019 19:45,R_3PIiaTgTqPXOgTH,anonymous,EN,4,3,4,3.666666667,5,4,4,4,,4,4,4,4,4,,4,5,4,4,5,,4.333333333
11/17/2019 16:12,11/17/2019 16:24,IP Address,100,736,TRUE,11/17/2019 16:24,R_3LXqJ24pT7wGQ6g,anonymous,EN,4,5,1,3.333333333,4,5,3,4,,3,,,,,Identity protection in case of data breach ,4,5,3,5,5,,3.666666667
11/17/2019 16:22,11/17/2019 16:29,IP Address,100,382,TRUE,11/17/2019 16:29,R_3IbgTLoLGb051An,anonymous,EN,4,4,2,3.333333333,4,5,5,4,,5,5,4,5,5,,4,4,4,5,4,,4.333333333
11/17/2019 17:07,11/17/2019 17:09,IP Address,100,125,TRUE,11/17/2019 17:09,R_1LBS9Te1mdxduIr,anonymous,EN,1,4,5,3.333333333,4,4,3,4,,5,5,4,3,4,,4,4,4,4,5,,4.333333333
11/22/2019 7:24,11/22/2019 7:30,IP Address,100,348,TRUE,11/22/2019 7:30,R_2V86K2oiEBvyj9m,anonymous,EN,1,4,3,2.666666667,2,,,,Practices that access criminal records and valid security breaches. Not my day to day patterns. ,4,5,4,5,3,,4,4,5,4,4,,3.333333333
